,Learning Rate,Dropout Rate,Batch Size,Accuracy
21,0.01,0.4,3,86.1
13,0.01,0.2,3,85.39999999999999
17,0.01,0.3,3,85.0
22,0.01,0.4,10,84.7
18,0.01,0.3,10,82.5
14,0.01,0.2,10,82.39999999999999
27,0.1,0.2,20,81.6
30,0.1,0.3,10,80.5
9,0.001,0.4,3,77.9
34,0.1,0.4,10,75.3
15,0.01,0.2,20,74.0
5,0.001,0.3,3,70.89999999999999
1,0.001,0.2,3,69.8
26,0.1,0.2,10,69.39999999999999
23,0.01,0.4,20,68.8
19,0.01,0.3,20,67.10000000000001
0,0.001,0.2,1,61.1
25,0.1,0.2,3,56.89999999999999
10,0.001,0.4,10,54.0
31,0.1,0.3,20,52.0
33,0.1,0.4,3,47.199999999999996
2,0.001,0.2,10,45.4
6,0.001,0.3,10,43.6
8,0.001,0.4,1,38.7
7,0.001,0.3,20,32.0
4,0.001,0.3,1,26.1
11,0.001,0.4,20,25.0
3,0.001,0.2,20,23.400000000000002
16,0.01,0.3,1,17.4
28,0.1,0.3,1,12.0
32,0.1,0.4,1,11.3
29,0.1,0.3,3,10.299999999999999
24,0.1,0.2,1,10.299999999999999
20,0.01,0.4,1,10.2
12,0.01,0.2,1,9.3
35,0.1,0.4,20,8.9
